group,batch,item_id,char,curriculum_idx,strokes,tier,phase,attempt_no,is_retry,verdict,verdict_scheme,judged_at,first_attempt_verdict,final_verdict
G3,001_pilot,p1_stroke_04_捺,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:40,PASS,PASS
G1,001_pilot,p1_stroke_04_捺,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:41,PASS,PASS
G1,001_pilot,p1_stroke_05_点,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:42,PASS,PASS
G2,001_pilot,p1_stroke_05_点,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:43,PASS,PASS
G4,001_pilot,p1_stroke_05_点,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:43,PASS,PASS
G3,001_pilot,p1_stroke_05_点,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:44,PASS,PASS
G2,001_pilot,p1_stroke_06_提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:45,PASS,PASS
G3,001_pilot,p1_stroke_06_提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:45,PASS,PASS
G1,001_pilot,p1_stroke_06_提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:46,PASS,PASS
G4,001_pilot,p1_stroke_06_提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:47,PASS,PASS
G3,001_pilot,p1_stroke_07_弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:52,PASS,PASS
G2,001_pilot,p1_stroke_07_弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:53,PASS,PASS
G4,001_pilot,p1_stroke_07_弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:54,PASS,PASS
G1,001_pilot,p1_stroke_07_弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:48:55,PASS,PASS
G4,001_pilot,p1_stroke_08_卧钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:16,PASS,PASS
G3,001_pilot,p1_stroke_08_卧钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:18,PASS,PASS
G1,001_pilot,p1_stroke_08_卧钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:21,PASS,PASS
G2,001_pilot,p1_stroke_08_卧钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:22,PASS,PASS
G3,001_pilot,p1_stroke_09_横撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:25,PASS,PASS
G2,001_pilot,p1_stroke_09_横撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:26,PASS,PASS
G1,001_pilot,p1_stroke_09_横撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:26,PASS,PASS
G4,001_pilot,p1_stroke_09_横撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:27,PASS,PASS
G2,001_pilot,p1_stroke_10_横钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:28,PASS,PASS
G1,001_pilot,p1_stroke_10_横钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T17:49:36,FAIL,FAIL
G4,001_pilot,p1_stroke_10_横钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:38,PASS,PASS
G3,001_pilot,p1_stroke_10_横钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:39,PASS,PASS
G2,001_pilot,p1_stroke_11_横折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:40,PASS,PASS
G3,001_pilot,p1_stroke_11_横折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:41,PASS,PASS
G1,001_pilot,p1_stroke_11_横折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:41,PASS,PASS
G4,001_pilot,p1_stroke_11_横折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:43,PASS,PASS
G2,001_pilot,p1_stroke_12_竖提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:44,PASS,PASS
G3,001_pilot,p1_stroke_12_竖提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:44,PASS,PASS
G4,001_pilot,p1_stroke_12_竖提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:45,PASS,PASS
G1,001_pilot,p1_stroke_12_竖提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:45,PASS,PASS
G1,001_pilot,p1_stroke_13_竖弯,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:49:47,PASS,PASS
G3,001_pilot,p1_stroke_13_竖弯,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:50:56,PASS,PASS
G4,001_pilot,p1_stroke_13_竖弯,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:50:56,PASS,PASS
G2,001_pilot,p1_stroke_13_竖弯,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:50:57,PASS,PASS
G2,001_pilot,p1_stroke_14_竖钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:50:57,PASS,PASS
G4,001_pilot,p1_stroke_14_竖钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:50:58,PASS,PASS
G3,001_pilot,p1_stroke_14_竖钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T17:50:59,FAIL,FAIL
G1,001_pilot,p1_stroke_14_竖钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:50:59,PASS,PASS
G3,001_pilot,p1_stroke_15_竖折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:00,PASS,PASS
G2,001_pilot,p1_stroke_15_竖折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:01,PASS,PASS
G4,001_pilot,p1_stroke_15_竖折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:01,PASS,PASS
G1,001_pilot,p1_stroke_15_竖折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:02,PASS,PASS
G1,001_pilot,p1_stroke_16_斜钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:06,PASS,PASS
G4,001_pilot,p1_stroke_16_斜钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:07,PASS,PASS
G2,001_pilot,p1_stroke_16_斜钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:08,PASS,PASS
G3,001_pilot,p1_stroke_16_斜钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T17:51:09,FAIL,FAIL
G4,001_pilot,p1_stroke_17_撇点,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:12,PASS,PASS
G3,001_pilot,p1_stroke_17_撇点,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:51:57,PASS,PASS
G1,001_pilot,p1_stroke_17_撇点,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T17:52:04,FAIL,FAIL
G2,001_pilot,p1_stroke_17_撇点,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T17:52:06,FAIL,FAIL
G4,001_pilot,p1_stroke_18_撇折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:13,PASS,PASS
G2,001_pilot,p1_stroke_18_撇折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:15,PASS,PASS
G1,001_pilot,p1_stroke_18_撇折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:15,PASS,PASS
G3,001_pilot,p1_stroke_18_撇折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:16,PASS,PASS
G2,001_pilot,p1_stroke_19_横斜钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:18,PASS,PASS
G1,001_pilot,p1_stroke_19_横斜钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:20,PASS,PASS
G4,001_pilot,p1_stroke_19_横斜钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T17:52:21,FAIL,FAIL
G3,001_pilot,p1_stroke_19_横斜钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T17:52:30,FAIL,FAIL
G2,001_pilot,p1_stroke_20_橫折提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:42,PASS,PASS
G4,001_pilot,p1_stroke_20_橫折提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:42,PASS,PASS
G3,001_pilot,p1_stroke_20_橫折提,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-12T17:52:43,PASS,PASS
G1,001_pilot,p1_stroke_20_橫折提,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T17:52:44,FAIL,FAIL
G2,002,p1_stroke_21_横折弯,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-12T22:47:00,FAIL,FAIL
G1,002,p1_stroke_21_横折弯,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:13,PASS,PASS
G3,002,p1_stroke_21_横折弯,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:55:14,FAIL,FAIL
G4,002,p1_stroke_21_横折弯,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:55:22,FAIL,FAIL
G3,002,p1_stroke_22_横折钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:23,PASS,PASS
G1,002,p1_stroke_22_横折钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:24,PASS,PASS
G4,002,p1_stroke_22_横折钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:24,PASS,PASS
G2,002,p1_stroke_22_横折钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:25,PASS,PASS
G2,002,p1_stroke_23_竖弯钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:55:36,FAIL,FAIL
G4,002,p1_stroke_23_竖弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:37,PASS,PASS
G1,002,p1_stroke_23_竖弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:37,PASS,PASS
G3,002,p1_stroke_23_竖弯钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:55:44,FAIL,FAIL
G2,002,p1_stroke_24_横撇弯钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:55:52,FAIL,FAIL
G4,002,p1_stroke_24_横撇弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:55,PASS,PASS
G3,002,p1_stroke_24_横撇弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:55:56,PASS,PASS
G1,002,p1_stroke_24_横撇弯钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:55:58,FAIL,FAIL
G3,002,p1_stroke_25_横折弯钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:56:10,FAIL,FAIL
G2,002,p1_stroke_25_横折弯钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:56:11,PASS,PASS
G4,002,p1_stroke_25_横折弯钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:56:13,FAIL,FAIL
G1,002,p1_stroke_25_横折弯钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:56:20,FAIL,FAIL
G1,002,p1_stroke_26_横折折,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:56:27,FAIL,FAIL
G2,002,p1_stroke_26_横折折,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:56:28,FAIL,FAIL
G3,002,p1_stroke_26_横折折,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:56:29,FAIL,FAIL
G4,002,p1_stroke_26_横折折,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:56:29,FAIL,FAIL
G4,002,p1_stroke_27_竖折撇,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:56:43,FAIL,FAIL
G1,002,p1_stroke_27_竖折撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:00,PASS,PASS
G2,002,p1_stroke_27_竖折撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:07,PASS,PASS
G3,002,p1_stroke_27_竖折撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:08,PASS,PASS
G4,002,p1_stroke_28_竖折折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:13,PASS,PASS
G1,002,p1_stroke_28_竖折折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:14,PASS,PASS
G2,002,p1_stroke_28_竖折折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:14,PASS,PASS
G3,002,p1_stroke_28_竖折折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:14,PASS,PASS
G2,002,p1_stroke_29_横折折撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:21,PASS,PASS
G4,002,p1_stroke_29_横折折撇,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:57:25,FAIL,FAIL
G3,002,p1_stroke_29_横折折撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:29,PASS,PASS
G1,002,p1_stroke_29_横折折撇,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:30,PASS,PASS
G4,002,p1_stroke_30_横折折折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:36,PASS,PASS
G3,002,p1_stroke_30_横折折折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:37,PASS,PASS
G2,002,p1_stroke_30_横折折折,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:37,PASS,PASS
G1,002,p1_stroke_30_横折折折,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:57:42,FAIL,FAIL
G4,002,p1_stroke_31_竖折折钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:48,PASS,PASS
G2,002,p1_stroke_31_竖折折钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:57:54,PASS,PASS
G3,002,p1_stroke_31_竖折折钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:58:02,FAIL,FAIL
G1,002,p1_stroke_31_竖折折钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:58:02,FAIL,FAIL
G4,002,p1_stroke_32_横折折折钩,,,,,stroke,1,False,PASS,binary_or_4tier,2026-07-13T21:58:08,PASS,PASS
G3,002,p1_stroke_32_横折折折钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:58:09,FAIL,FAIL
G2,002,p1_stroke_32_横折折折钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:58:10,FAIL,FAIL
G1,002,p1_stroke_32_横折折折钩,,,,,stroke,1,False,FAIL,binary_or_4tier,2026-07-13T21:58:10,FAIL,FAIL
G4,bootstrap,p2_radical_001_丨,丨,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:50:33,PASS,PASS
G2,bootstrap,p2_radical_001_丨,丨,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:50:38,PASS,PASS
G1,bootstrap,p2_radical_001_丨,丨,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:50:39,PASS,PASS
G3,bootstrap,p2_radical_001_丨,丨,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:36,PASS,PASS
G4,bootstrap,p2_radical_002_亅,亅,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:37,PASS,PASS
G1,bootstrap,p2_radical_002_亅,亅,,1,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:51:47,FAIL,FAIL
G2,bootstrap,p2_radical_002_亅,亅,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:48,PASS,PASS
G3,bootstrap,p2_radical_002_亅,亅,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:49,PASS,PASS
G3,bootstrap,p2_radical_003_丿,丿,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:50,PASS,PASS
G4,bootstrap,p2_radical_003_丿,丿,,1,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:51:55,FAIL,FAIL
G1,bootstrap,p2_radical_003_丿,丿,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:56,PASS,PASS
G2,bootstrap,p2_radical_003_丿,丿,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:56,PASS,PASS
G1,bootstrap,p2_radical_004_乛,乛,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:58,PASS,PASS
G3,bootstrap,p2_radical_004_乛,乛,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:58,PASS,PASS
G4,bootstrap,p2_radical_004_乛,乛,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:59,PASS,PASS
G2,bootstrap,p2_radical_004_乛,乛,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:51:59,PASS,PASS
G3,bootstrap,p2_radical_005_一,一,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:00,PASS,PASS
G2,bootstrap,p2_radical_005_一,一,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:01,PASS,PASS
G4,bootstrap,p2_radical_005_一,一,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:01,PASS,PASS
G1,bootstrap,p2_radical_005_一,一,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:01,PASS,PASS
G2,bootstrap,p2_radical_006_乙,乙,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:02,PASS,PASS
G3,bootstrap,p2_radical_006_乙,乙,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:03,PASS,PASS
G1,bootstrap,p2_radical_006_乙,乙,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:03,PASS,PASS
G4,bootstrap,p2_radical_006_乙,乙,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:04,PASS,PASS
G2,bootstrap,p2_radical_007_乚,乚,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:05,PASS,PASS
G3,bootstrap,p2_radical_007_乚,乚,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:06,PASS,PASS
G4,bootstrap,p2_radical_007_乚,乚,,1,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:07,FAIL,FAIL
G1,bootstrap,p2_radical_007_乚,乚,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:09,PASS,PASS
G3,bootstrap,p2_radical_008_丶,丶,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:13,PASS,PASS
G2,bootstrap,p2_radical_008_丶,丶,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:14,PASS,PASS
G1,bootstrap,p2_radical_008_丶,丶,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:14,PASS,PASS
G4,bootstrap,p2_radical_008_丶,丶,,1,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:14,PASS,PASS
G1,bootstrap,p2_radical_009_八,八,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:15,PASS,PASS
G3,bootstrap,p2_radical_009_八,八,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:16,PASS,PASS
G2,bootstrap,p2_radical_009_八,八,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:16,PASS,PASS
G4,bootstrap,p2_radical_009_八,八,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:17,PASS,PASS
G3,bootstrap,p2_radical_010_勹,勹,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:19,FAIL,FAIL
G2,bootstrap,p2_radical_010_勹,勹,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:19,PASS,PASS
G4,bootstrap,p2_radical_010_勹,勹,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:25,PASS,PASS
G1,bootstrap,p2_radical_010_勹,勹,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:26,FAIL,FAIL
G4,bootstrap,p2_radical_011_匕,匕,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:28,PASS,PASS
G2,bootstrap,p2_radical_011_匕,匕,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:31,FAIL,FAIL
G3,bootstrap,p2_radical_011_匕,匕,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:32,FAIL,FAIL
G1,bootstrap,p2_radical_011_匕,匕,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:33,FAIL,FAIL
G2,bootstrap,p2_radical_012_冫,冫,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:37,PASS,PASS
G1,bootstrap,p2_radical_012_冫,冫,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:38,PASS,PASS
G4,bootstrap,p2_radical_012_冫,冫,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:39,PASS,PASS
G3,bootstrap,p2_radical_012_冫,冫,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:39,PASS,PASS
G3,bootstrap,p2_radical_013_卜,卜,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:40,PASS,PASS
G1,bootstrap,p2_radical_013_卜,卜,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:49,PASS,PASS
G4,bootstrap,p2_radical_013_卜,卜,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:50,PASS,PASS
G2,bootstrap,p2_radical_013_卜,卜,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:50,PASS,PASS
G4,bootstrap,p2_radical_014_厂,厂,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:54,FAIL,FAIL
G2,bootstrap,p2_radical_014_厂,厂,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:55,FAIL,FAIL
G1,bootstrap,p2_radical_014_厂,厂,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:56,PASS,PASS
G3,bootstrap,p2_radical_014_厂,厂,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:56,FAIL,FAIL
G1,bootstrap,p2_radical_015_刀,刀,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:52:57,PASS,PASS
G4,bootstrap,p2_radical_015_刀,刀,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:52:59,FAIL,FAIL
G3,bootstrap,p2_radical_015_刀,刀,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:53:00,FAIL,FAIL
G2,bootstrap,p2_radical_015_刀,刀,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:53:01,FAIL,FAIL
G2,bootstrap,p2_radical_016_刂,刂,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:01,PASS,PASS
G1,bootstrap,p2_radical_016_刂,刂,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:02,PASS,PASS
G3,bootstrap,p2_radical_016_刂,刂,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:05,PASS,PASS
G4,bootstrap,p2_radical_016_刂,刂,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:53:06,FAIL,FAIL
G4,bootstrap,p2_radical_017_儿,儿,,2,radical,radical,1,False,FAIL,binary_or_4tier,2026-07-17T17:53:08,FAIL,FAIL
G3,bootstrap,p2_radical_017_儿,儿,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:09,PASS,PASS
G1,bootstrap,p2_radical_017_儿,儿,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:09,PASS,PASS
G2,bootstrap,p2_radical_017_儿,儿,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:10,PASS,PASS
G3,bootstrap,p2_radical_018_二,二,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:11,PASS,PASS
G1,bootstrap,p2_radical_018_二,二,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:11,PASS,PASS
G2,bootstrap,p2_radical_018_二,二,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:12,PASS,PASS
G4,bootstrap,p2_radical_018_二,二,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-17T17:53:12,PASS,PASS
G1,B1,p2_radical_019_匚,匚,,2,radical,radical,1,False,PASS,binary_or_4tier,2026-07-18T16:15:03,PASS,PASS
